,Sales Representative,Location,Customer,Product,Order Date,Quantity, Unit Price , Total Sale Amount 
,Hari,Banglore,Robin Murphy,Essential,7-Mar-16,8, ₹ 16.32 , ₹ 130.56 
,Hari,Banglore,Doris Diaz,Gadgets,7-Mar-16,7, ₹ 53.35 , ₹ 373.45 
,Yuvan,Delhi,George Stone,Cosmetic,7-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Chennai,Theresa Torres,Essential,7-Mar-16,1, ₹ 16.32 , ₹ 16.32 
,Gowtham,Delhi,Justin Dixon,Cosmetic,7-Mar-16,10, ₹ 12.42 , ₹ 124.20 
,Abi,Delhi,Brandon King,Gadgets,8-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Delhi,Bobby Mitchell,Cosmetic,8-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Kolkata,Evelyn Greene,Gadgets,8-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Yuvan,Kolkata,Todd Holmes,Cosmetic,8-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Yuvan,Kolkata,Joe Ryan,Electronics,8-Mar-16,4, ₹ 17.83 , ₹ 71.32 
,Yuvan,Delhi,Sean Carr,Gadgets,8-Mar-16,9, ₹ 53.35 , ₹ 480.15 
,Hari,Banglore,Judy Lopez,Gadgets,8-Mar-16,8, ₹ 53.35 , ₹ 426.80 
,Yuvan,Delhi,Carl Ford,Cosmetic,8-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Banglore,Laura Lewis,Cosmetic,8-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Abi,Delhi,Eugene Flores,Gadgets,8-Mar-16,2, ₹ 53.35 , ₹ 106.70 
,Hari,Banglore,Phillip Mills,Gadgets,8-Mar-16,7, ₹ 53.35 , ₹ 373.45 
,Kishore,Banglore,Frank Garrett,Cosmetic,8-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Kishore,Banglore,Joan Robinson,Gadgets,8-Mar-16,1, ₹ 53.35 , ₹ 53.35 
,Yuvan,Delhi,Phillip Johnston,Essential,8-Mar-16,6, ₹ 16.32 , ₹ 97.92 
,Yuvan,Kolkata,Katherine Mcdonald,Essential,8-Mar-16,4, ₹ 16.32 , ₹ 65.28 
,Gowtham,Kolkata,Ruby Matthews,Cosmetic,9-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Kishore,Banglore,Judy Lopez,Cosmetic,9-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Delhi,Jeremy Richards,Electronics,9-Mar-16,3, ₹ 17.83 , ₹ 53.49 
,Abi,Kolkata,Frank Ramos,Gadgets,9-Mar-16,7, ₹ 53.35 , ₹ 373.45 
,Kishore,Banglore,Michelle Elliott,Essential,9-Mar-16,1, ₹ 16.32 , ₹ 16.32 
,Hari,Gurgon,Julie Gonzalez,Electronics,9-Mar-16,8, ₹ 17.83 , ₹ 142.64 
,Kishore,Banglore,Evelyn Elliott,Cosmetic,9-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Gowtham,Chennai,Ronald Lopez,Gadgets,9-Mar-16,1, ₹ 53.35 , ₹ 53.35 
,Hari,Banglore,Sandra Hughes,Cosmetic,9-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Chennai,Rachel Larson,Cosmetic,9-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Chennai,Russell Day,Cosmetic,9-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Hari,Banglore,Jimmy Warren,Essential,9-Mar-16,3, ₹ 16.32 , ₹ 48.96 
,Gowtham,Mumbai,Henry Cox,Cosmetic,10-Mar-16,10, ₹ 12.42 , ₹ 124.20 
,Abi,Mumbai,Russell Romero,Cosmetic,10-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Kolkata,Edward Cooper,Electronics,10-Mar-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Chennai,Kathy Rice,Electronics,10-Mar-16,4, ₹ 17.83 , ₹ 71.32 
,Gowtham,Chennai,Jacqueline Wheeler,Cosmetic,10-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Kishore,Banglore,Kimberly Bennett,Cosmetic,10-Mar-16,10, ₹ 12.42 , ₹ 124.20 
,Hari,Banglore,Arthur James,Gadgets,10-Mar-16,8, ₹ 53.35 , ₹ 426.80 
,Yuvan,Chennai,Eugene Hayes,Cosmetic,10-Mar-16,10, ₹ 12.42 , ₹ 124.20 
,Yuvan,Delhi,Harold Rodriguez,Electronics,10-Mar-16,7, ₹ 17.83 , ₹ 124.81 
,Yuvan,Kolkata,Anthony Berry,Cosmetic,10-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Abi,Delhi,Roger Andrews,Electronics,11-Mar-16,1, ₹ 17.83 , ₹ 17.83 
,Gowtham,Mumbai,Russell Romero,Cosmetic,11-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Kishore,Gurgon,Teresa Fisher,Gadgets,11-Mar-16,8, ₹ 53.35 , ₹ 426.80 
,Abi,Delhi,Aaron Morris,Cosmetic,11-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Kolkata,Cheryl Riley,Gadgets,11-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Yuvan,Chennai,Adam Russell,Cosmetic,11-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Yuvan,Mumbai,Jane Watkins,Essential,11-Mar-16,7, ₹ 16.32 , ₹ 114.24 
,Gowtham,Kolkata,Joseph Boyd,Gadgets,11-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Kolkata,Sandra Hicks,Essential,11-Mar-16,10, ₹ 16.32 , ₹ 163.20 
,Hari,Gurgon,Kenneth West,Electronics,11-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Yuvan,Delhi,Cheryl Myers,Gadgets,11-Mar-16,9, ₹ 53.35 , ₹ 480.15 
,Kishore,Gurgon,Jean Griffin,Electronics,12-Mar-16,4, ₹ 17.83 , ₹ 71.32 
,Yuvan,Kolkata,Emily Patterson,Cosmetic,12-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Kolkata,Peter Gilbert,Gadgets,12-Mar-16,9, ₹ 53.35 , ₹ 480.15 
,Gowtham,Delhi,Paul Perkins,Electronics,12-Mar-16,3, ₹ 17.83 , ₹ 53.49 
,Yuvan,Kolkata,Raymond Collins,Cosmetic,12-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Kolkata,Nancy Scott,Cosmetic,12-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Hari,Banglore,Henry Sanders,Cosmetic,12-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Kolkata,Albert Miller,Cosmetic,12-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Abi,Delhi,Cheryl Williamson,Cosmetic,12-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Kolkata,Lori Collins,Electronics,12-Mar-16,5, ₹ 17.83 , ₹ 89.15 
,Hari,Banglore,Jerry Collins,Essential,12-Mar-16,9, ₹ 16.32 , ₹ 146.88 
,Kishore,Gurgon,Kathy Lee,Cosmetic,12-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Delhi,Matthew Smith,Electronics,12-Mar-16,8, ₹ 17.83 , ₹ 142.64 
,Yuvan,Delhi,Roger Andrews,Cosmetic,12-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Gowtham,Mumbai,Sandra Meyer,Essential,12-Mar-16,10, ₹ 16.32 , ₹ 163.20 
,Yuvan,Chennai,Adam Russell,Electronics,12-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Kishore,Banglore,Pamela Alexander,Cosmetic,12-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Gowtham,Kolkata,Randy Burton,Essential,13-Mar-16,4, ₹ 16.32 , ₹ 65.28 
,Abi,Mumbai,Russell Romero,Cosmetic,13-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Kolkata,Phyllis Ward,Gadgets,13-Mar-16,10, ₹ 53.35 , ₹ 533.50 
,Hari,Gurgon,Anna Garcia,Essential,13-Mar-16,6, ₹ 16.32 , ₹ 97.92 
,Kishore,Gurgon,Anna Garcia,Cosmetic,13-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Mumbai,Jane Watkins,Cosmetic,13-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Hari,Banglore,Gloria Morris,Essential,13-Mar-16,1, ₹ 16.32 , ₹ 16.32 
,Abi,Kolkata,Kenneth Fernandez,Essential,13-Mar-16,5, ₹ 16.32 , ₹ 81.60 
,Yuvan,Chennai,Ronald Lopez,Cosmetic,13-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Delhi,Kevin Barnes,Electronics,13-Mar-16,2, ₹ 17.83 , ₹ 35.66 
,Yuvan,Chennai,Keith Berry,Gadgets,13-Mar-16,10, ₹ 53.35 , ₹ 533.50 
,Yuvan,Delhi,Susan Watkins,Gadgets,13-Mar-16,5, ₹ 53.35 , ₹ 266.75 
,Yuvan,Mumbai,Lois Baker,Cosmetic,13-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Kishore,Gurgon,Julie Gonzalez,Cosmetic,13-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Gowtham,Delhi,Alice Kelly,Gadgets,13-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Kishore,Gurgon,Kathy Lee,Essential,13-Mar-16,8, ₹ 16.32 , ₹ 130.56 
,Kishore,Banglore,Maria Romero,Gadgets,13-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Kishore,Banglore,Jeremy Baker,Cosmetic,14-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Gowtham,Kolkata,Mark Alexander,Electronics,14-Mar-16,10, ₹ 17.83 , ₹ 178.30 
,Kishore,Banglore,Craig Thomas,Cosmetic,14-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Kolkata,Cheryl Riley,Essential,14-Mar-16,9, ₹ 16.32 , ₹ 146.88 
,Yuvan,Delhi,Bruce Reynolds,Cosmetic,14-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Yuvan,Kolkata,Ashley Spencer,Essential,14-Mar-16,9, ₹ 16.32 , ₹ 146.88 
,Gowtham,Kolkata,Wayne Rivera,Cosmetic,14-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Gowtham,Mumbai,Maria Long,Gadgets,14-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Gowtham,Kolkata,Ralph Gomez,Electronics,14-Mar-16,1, ₹ 17.83 , ₹ 17.83 
,Hari,Banglore,Sharon Montgomery,Electronics,14-Mar-16,1, ₹ 17.83 , ₹ 17.83 
,Kishore,Banglore,Robin Murphy,Cosmetic,14-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Abi,Kolkata,Joe Ryan,Cosmetic,15-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Yuvan,Delhi,Jerry Palmer,Gadgets,15-Mar-16,2, ₹ 53.35 , ₹ 106.70 
,Yuvan,Kolkata,Jerry Pierce,Gadgets,15-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Kishore,Banglore,Paula Watson,Cosmetic,15-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Yuvan,Kolkata,Heather Andrews,Gadgets,15-Mar-16,8, ₹ 53.35 , ₹ 426.80 
,Abi,Delhi,Michael Foster,Cosmetic,15-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Kishore,Gurgon,Lillian Howard,Cosmetic,15-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Hari,Banglore,Angela Sullivan,Cosmetic,15-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Gowtham,Chennai,Jacqueline Wheeler,Cosmetic,15-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Kishore,Banglore,Annie Hughes,Essential,15-Mar-16,4, ₹ 16.32 , ₹ 65.28 
,Abi,Chennai,Denise Mitchell,Gadgets,15-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Delhi,Joseph Bishop,Electronics,15-Mar-16,4, ₹ 17.83 , ₹ 71.32 
,Kishore,Banglore,Mildred Hernandez,Cosmetic,15-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Yuvan,Delhi,Steven Miller,Cosmetic,15-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Hari,Banglore,Gary Cook,Cosmetic,15-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Kishore,Banglore,Arthur Green,Gadgets,15-Mar-16,10, ₹ 53.35 , ₹ 533.50 
,Kishore,Banglore,Rachel Dunn,Cosmetic,15-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Hari,Banglore,Andrew Adams,Gadgets,15-Mar-16,7, ₹ 53.35 , ₹ 373.45 
,Kishore,Gurgon,Roger Bell,Essential,15-Mar-16,3, ₹ 16.32 , ₹ 48.96 
,Yuvan,Delhi,Brandon King,Essential,15-Mar-16,10, ₹ 16.32 , ₹ 163.20 
,Kishore,Banglore,Kimberly Bennett,Cosmetic,15-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Kolkata,Gloria Harper,Essential,15-Mar-16,5, ₹ 16.32 , ₹ 81.60 
,Abi,Delhi,Aaron Morris,Cosmetic,16-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Delhi,Todd Spencer,Cosmetic,16-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Kishore,Banglore,Kathy Schmidt,Cosmetic,16-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Gowtham,Kolkata,Tammy Ferguson,Gadgets,16-Mar-16,1, ₹ 53.35 , ₹ 53.35 
,Gowtham,Delhi,Sandra Weaver,Cosmetic,16-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Yuvan,Kolkata,Jane Sims,Electronics,16-Mar-16,8, ₹ 17.83 , ₹ 142.64 
,Kishore,Gurgon,Gloria Mcdonald,Essential,16-Mar-16,2, ₹ 16.32 , ₹ 32.64 
,Yuvan,Chennai,Marilyn Patterson,Gadgets,16-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Delhi,Phillip Johnston,Electronics,16-Mar-16,2, ₹ 17.83 , ₹ 35.66 
,Abi,Delhi,Cheryl Myers,Cosmetic,16-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Kishore,Banglore,Michelle Elliott,Cosmetic,16-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Chennai,Bonnie Shaw,Cosmetic,16-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Gowtham,Delhi,Antonio Hunter,Cosmetic,16-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Gowtham,Delhi,Jeremy Richards,Gadgets,16-Mar-16,3, ₹ 53.35 , ₹ 160.05 
,Kishore,Banglore,Christine Jacobs,Essential,16-Mar-16,4, ₹ 16.32 , ₹ 65.28 
,Kishore,Gurgon,Joseph Reynolds,Cosmetic,16-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Gurgon,Henry Day,Cosmetic,17-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Yuvan,Delhi,Deborah Wells,Gadgets,17-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Hari,Banglore,Ryan Ramos,Gadgets,17-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Kishore,Banglore,Martha Bell,Essential,17-Mar-16,7, ₹ 16.32 , ₹ 114.24 
,Gowtham,Delhi,Bobby Mitchell,Essential,17-Mar-16,5, ₹ 16.32 , ₹ 81.60 
,Kishore,Banglore,Harry Torres,Cosmetic,17-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Chennai,Michelle Henderson,Essential,17-Mar-16,5, ₹ 16.32 , ₹ 81.60 
,Gowtham,Delhi,Joe Russell,Cosmetic,17-Mar-16,10, ₹ 12.42 , ₹ 124.20 
,Kishore,Gurgon,Roger Bell,Gadgets,17-Mar-16,3, ₹ 53.35 , ₹ 160.05 
,Hari,Banglore,Joseph Willis,Electronics,17-Mar-16,3, ₹ 17.83 , ₹ 53.49 
,Gowtham,Delhi,George Stone,Electronics,17-Mar-16,10, ₹ 17.83 , ₹ 178.30 
,Yuvan,Delhi,Aaron Morris,Cosmetic,18-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Abi,Chennai,Robert Collins,Gadgets,18-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Yuvan,Mumbai,Clarence Mason,Cosmetic,18-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Kishore,Banglore,Joan Robinson,Gadgets,18-Mar-16,2, ₹ 53.35 , ₹ 106.70 
,Kishore,Banglore,Mildred Hernandez,Cosmetic,18-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Gowtham,Delhi,Amanda Bryant,Essential,18-Mar-16,4, ₹ 16.32 , ₹ 65.28 
,Yuvan,Chennai,Benjamin Spencer,Cosmetic,18-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Yuvan,Chennai,Sean Weaver,Cosmetic,18-Mar-16,10, ₹ 12.42 , ₹ 124.20 
,Abi,Chennai,Kelly Daniels,Cosmetic,18-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Kishore,Banglore,Ruth Day,Cosmetic,18-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Abi,Mumbai,Benjamin Phillips,Cosmetic,18-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Yuvan,Delhi,George Stone,Cosmetic,18-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Kishore,Banglore,Angela Sullivan,Gadgets,18-Mar-16,3, ₹ 53.35 , ₹ 160.05 
,Hari,Banglore,Judy Sanchez,Cosmetic,18-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Banglore,Joan Robinson,Gadgets,18-Mar-16,8, ₹ 53.35 , ₹ 426.80 
,Yuvan,Kolkata,Debra Allen,Essential,19-Mar-16,6, ₹ 16.32 , ₹ 97.92 
,Yuvan,Chennai,Laura Wells,Electronics,19-Mar-16,6, ₹ 17.83 , ₹ 106.98 
,Gowtham,Mumbai,Ryan Arnold,Cosmetic,19-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Gowtham,Kolkata,Jerry Pierce,Cosmetic,19-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Hari,Banglore,Phillip Mills,Essential,19-Mar-16,4, ₹ 16.32 , ₹ 65.28 
,Yuvan,Kolkata,Harold Hunter,Cosmetic,19-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Hari,Banglore,Marilyn Carpenter,Gadgets,19-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Yuvan,Kolkata,Irene Wells,Essential,19-Mar-16,8, ₹ 16.32 , ₹ 130.56 
,Hari,Gurgon,Rose Matthews,Cosmetic,19-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Gowtham,Delhi,Kevin Torres,Electronics,19-Mar-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Kolkata,Ralph Gomez,Essential,19-Mar-16,10, ₹ 16.32 , ₹ 163.20 
,Kishore,Banglore,Carol Pierce,Cosmetic,19-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Kishore,Banglore,Evelyn Lane,Electronics,19-Mar-16,1, ₹ 17.83 , ₹ 17.83 
,Hari,Banglore,Maria Romero,Cosmetic,20-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Kishore,Banglore,Denise Henry,Cosmetic,20-Mar-16,6, ₹ 12.42 , ₹ 74.52 
,Abi,Chennai,Edward Wells,Electronics,20-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Gowtham,Delhi,Theresa Ellis,Cosmetic,20-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Kishore,Banglore,Frances Parker,Gadgets,20-Mar-16,3, ₹ 53.35 , ₹ 160.05 
,Abi,Kolkata,Chris Gilbert,Electronics,20-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Kishore,Banglore,Joan Robinson,Gadgets,20-Mar-16,1, ₹ 53.35 , ₹ 53.35 
,Yuvan,Delhi,Beverly Hamilton,Gadgets,20-Mar-16,7, ₹ 53.35 , ₹ 373.45 
,Yuvan,Chennai,Keith Berry,Electronics,20-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Gowtham,Delhi,Sandra Weaver,Cosmetic,20-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Delhi,Roger Gomez,Gadgets,20-Mar-16,3, ₹ 53.35 , ₹ 160.05 
,Kishore,Gurgon,Brian Roberts,Cosmetic,20-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Kishore,Banglore,Daniel Perez,Cosmetic,20-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Gowtham,Kolkata,Katherine Mcdonald,Cosmetic,20-Mar-16,10, ₹ 12.42 , ₹ 124.20 
,Abi,Kolkata,Joseph Boyd,Electronics,20-Mar-16,7, ₹ 17.83 , ₹ 124.81 
,Abi,Mumbai,Ryan Arnold,Essential,20-Mar-16,5, ₹ 16.32 , ₹ 81.60 
,Kishore,Banglore,Evelyn Lane,Electronics,21-Mar-16,5, ₹ 17.83 , ₹ 89.15 
,Gowtham,Delhi,Ann Duncan,Electronics,21-Mar-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Delhi,Lori Shaw,Electronics,21-Mar-16,1, ₹ 17.83 , ₹ 17.83 
,Yuvan,Delhi,Kevin Barnes,Gadgets,21-Mar-16,2, ₹ 53.35 , ₹ 106.70 
,Gowtham,Mumbai,Cheryl Henderson,Cosmetic,21-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Abi,Chennai,Jacqueline Wheeler,Cosmetic,21-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Kolkata,Irene Wells,Essential,21-Mar-16,1, ₹ 16.32 , ₹ 16.32 
,Kishore,Gurgon,Brian Roberts,Electronics,21-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Gowtham,Delhi,Bruce Nelson,Electronics,21-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Yuvan,Delhi,Alice Davis,Essential,21-Mar-16,6, ₹ 16.32 , ₹ 97.92 
,Kishore,Banglore,Jimmy Warren,Gadgets,21-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Kishore,Banglore,Ryan Ramos,Cosmetic,21-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Abi,Kolkata,Helen Dean,Cosmetic,21-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Kishore,Banglore,Kimberly Bennett,Essential,22-Mar-16,4, ₹ 16.32 , ₹ 65.28 
,Gowtham,Delhi,Walter Meyer,Essential,22-Mar-16,1, ₹ 16.32 , ₹ 16.32 
,Yuvan,Kolkata,Craig Mcdonald,Cosmetic,22-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Hari,Gurgon,Gloria Mcdonald,Cosmetic,22-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Kishore,Banglore,Kathy Schmidt,Essential,22-Mar-16,6, ₹ 16.32 , ₹ 97.92 
,Hari,Banglore,Annie Hunter,Electronics,22-Mar-16,1, ₹ 17.83 , ₹ 17.83 
,Yuvan,Delhi,Jennifer Reyes,Cosmetic,22-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Gowtham,Mumbai,Betty Hicks,Cosmetic,22-Mar-16,9, ₹ 12.42 , ₹ 111.78 
,Gowtham,Kolkata,Anthony Berry,Cosmetic,22-Mar-16,5, ₹ 12.42 , ₹ 62.10 
,Yuvan,Delhi,Steven Kelly,Electronics,22-Mar-16,8, ₹ 17.83 , ₹ 142.64 
,Gowtham,Kolkata,Nancy Scott,Electronics,22-Mar-16,6, ₹ 17.83 , ₹ 106.98 
,Gowtham,Delhi,Lori Shaw,Cosmetic,22-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Yuvan,Kolkata,Jane Sims,Electronics,22-Mar-16,3, ₹ 17.83 , ₹ 53.49 
,Yuvan,Kolkata,Frances Campbell,Cosmetic,22-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Delhi,Cheryl Williamson,Essential,23-Mar-16,7, ₹ 16.32 , ₹ 114.24 
,Yuvan,Delhi,Louise Green,Essential,23-Mar-16,7, ₹ 16.32 , ₹ 114.24 
,Hari,Banglore,Joan Robinson,Electronics,23-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Gowtham,Chennai,Emily Duncan,Cosmetic,23-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Kishore,Gurgon,Lois Fernandez,Cosmetic,23-Mar-16,1, ₹ 12.42 , ₹ 12.42 
,Gowtham,Kolkata,Anthony Berry,Electronics,23-Mar-16,5, ₹ 17.83 , ₹ 89.15 
,Yuvan,Delhi,Eugene Flores,Gadgets,23-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Kishore,Banglore,Earl White,Cosmetic,23-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Kolkata,Phyllis Johnston,Gadgets,23-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Kishore,Banglore,George Hill,Cosmetic,23-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Delhi,Gregory Thompson,Essential,23-Mar-16,9, ₹ 16.32 , ₹ 146.88 
,Yuvan,Delhi,Craig Collins,Electronics,23-Mar-16,5, ₹ 17.83 , ₹ 89.15 
,Hari,Banglore,Paula Ross,Cosmetic,23-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Delhi,Mary Nelson,Gadgets,23-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Gowtham,Delhi,Howard Adams,Essential,23-Mar-16,5, ₹ 16.32 , ₹ 81.60 
,Yuvan,Kolkata,Linda Rose,Cosmetic,24-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Gowtham,Delhi,Gregory Thompson,Cosmetic,24-Mar-16,3, ₹ 12.42 , ₹ 37.26 
,Kishore,Banglore,Laura Mcdonald,Gadgets,24-Mar-16,4, ₹ 53.35 , ₹ 213.40 
,Gowtham,Delhi,Howard Adams,Cosmetic,24-Mar-16,2, ₹ 12.42 , ₹ 24.84 
,Gowtham,Kolkata,Marilyn Martin,Gadgets,24-Mar-16,7, ₹ 53.35 , ₹ 373.45 
,Yuvan,Chennai,Arthur Simmons,Gadgets,24-Mar-16,6, ₹ 53.35 , ₹ 320.10 
,Kishore,Banglore,Carol Pierce,Electronics,24-Mar-16,9, ₹ 17.83 , ₹ 160.47 
,Hari,Banglore,Andrew Adams,Gadgets,24-Mar-16,3, ₹ 53.35 , ₹ 160.05 
,Yuvan,Kolkata,Louis Marshall,Electronics,24-Mar-16,10, ₹ 17.83 , ₹ 178.30 
,Hari,Gurgon,Clarence Bishop,Cosmetic,24-Mar-16,7, ₹ 12.42 , ₹ 86.94 
,Yuvan,Delhi,Sean Carr,Cosmetic,24-Mar-16,8, ₹ 12.42 , ₹ 99.36 
,Yuvan,Kolkata,Lawrence Ruiz,Gadgets,25-Mar-16,5, ₹ 53.35 , ₹ 266.75 
,Kishore,Banglore,Gloria Morris,Cosmetic,25-Mar-16,4, ₹ 12.42 , ₹ 49.68 
,Kishore,Banglore,George Hill,Gadgets,25-Mar-16,2, ₹ 53.35 , ₹ 106.70 
,Kishore,Gurgon,Roger Bell,Electronics,25-Mar-16,3, ₹ 17.83 , ₹ 53.49 
,Yuvan,Delhi,Walter Kennedy,Cosmetic,25-Mar-16,7, ₹ 12.42 , ₹ 86.94 
